,Generation_number,Fitness,P_insert,P_reloc,Elit_prop,Nr_offsprings,Min_area,Max_area
0,0.0,0.8396997284347951,0.1,0.8,0.2,100.0,1000.0,2000.0
1,1.0,0.8409174312899732,0.1,0.8,0.2,100.0,1000.0,2000.0
2,2.0,0.8424250254506787,0.1,0.8,0.2,100.0,1000.0,2000.0
3,3.0,0.8386570713039072,0.1,0.8,0.2,100.0,1000.0,2000.0
4,4.0,0.841661395549612,0.1,0.8,0.2,100.0,1000.0,2000.0
5,5.0,0.8445483383477836,0.1,0.8,0.2,100.0,1000.0,2000.0
6,6.0,0.8490549917980627,0.1,0.8,0.2,100.0,1000.0,2000.0
7,7.0,0.849720514616193,0.1,0.8,0.2,100.0,1000.0,2000.0
8,8.0,0.8518723627820481,0.1,0.8,0.2,100.0,1000.0,2000.0
9,9.0,0.8538430149742114,0.1,0.8,0.2,100.0,1000.0,2000.0
10,10.0,0.8558732647441897,0.1,0.8,0.2,100.0,1000.0,2000.0
11,11.0,0.8559804207115445,0.1,0.8,0.2,100.0,1000.0,2000.0
12,12.0,0.8571952461342687,0.1,0.8,0.2,100.0,1000.0,2000.0
13,13.0,0.8582499874078438,0.1,0.8,0.2,100.0,1000.0,2000.0
14,14.0,0.8586584357641606,0.1,0.8,0.2,100.0,1000.0,2000.0
15,15.0,0.8601844812080491,0.1,0.8,0.2,100.0,1000.0,2000.0
16,16.0,0.8609889012382484,0.1,0.8,0.2,100.0,1000.0,2000.0
17,17.0,0.862046132198461,0.1,0.8,0.2,100.0,1000.0,2000.0
18,18.0,0.8627122151909614,0.1,0.8,0.2,100.0,1000.0,2000.0
19,19.0,0.8645110843117113,0.1,0.8,0.2,100.0,1000.0,2000.0
20,20.0,0.8645110843117113,0.1,0.8,0.2,100.0,1000.0,2000.0
21,21.0,0.8660844114873673,0.1,0.8,0.2,100.0,1000.0,2000.0
22,22.0,0.8663774198131129,0.1,0.8,0.2,100.0,1000.0,2000.0
23,23.0,0.8663774198131129,0.1,0.8,0.2,100.0,1000.0,2000.0
24,24.0,0.8670760471395764,0.1,0.8,0.2,100.0,1000.0,2000.0
25,25.0,0.8679089873621225,0.1,0.8,0.2,100.0,1000.0,2000.0
26,26.0,0.8684860350224791,0.1,0.8,0.2,100.0,1000.0,2000.0
27,27.0,0.8692766669374234,0.1,0.8,0.2,100.0,1000.0,2000.0
28,28.0,0.8692766669374234,0.1,0.8,0.2,100.0,1000.0,2000.0
29,29.0,0.8703832106632227,0.1,0.8,0.2,100.0,1000.0,2000.0
30,30.0,0.870466080699903,0.1,0.8,0.2,100.0,1000.0,2000.0
31,31.0,0.8714519970570923,0.1,0.8,0.2,100.0,1000.0,2000.0
