,Generation_number,Fitness,P_insert,P_reloc,Elit_prop,Nr_offsprings,Min_area,Max_area
0,0.0,0.8516478760082126,0.1,0.8,0.2,100.0,1000.0,2000.0
1,1.0,0.8582436221533333,0.1,0.8,0.2,100.0,1000.0,2000.0
2,2.0,0.8600356720895371,0.1,0.8,0.2,100.0,1000.0,2000.0
3,3.0,0.8595051578760587,0.1,0.8,0.2,100.0,1000.0,2000.0
4,4.0,0.8619225134959895,0.1,0.8,0.2,100.0,1000.0,2000.0
5,5.0,0.8635667740472408,0.1,0.8,0.2,100.0,1000.0,2000.0
6,6.0,0.8666218155641967,0.1,0.8,0.2,100.0,1000.0,2000.0
7,7.0,0.8664914075098986,0.1,0.8,0.2,100.0,1000.0,2000.0
8,8.0,0.8690185102965573,0.1,0.8,0.2,100.0,1000.0,2000.0
9,9.0,0.8721222172600908,0.1,0.8,0.2,100.0,1000.0,2000.0
10,10.0,0.8729763775397358,0.1,0.8,0.2,100.0,1000.0,2000.0
11,11.0,0.8742391628120638,0.1,0.8,0.2,100.0,1000.0,2000.0
12,12.0,0.8744052260902411,0.1,0.8,0.2,100.0,1000.0,2000.0
13,13.0,0.8755150723366298,0.1,0.8,0.2,100.0,1000.0,2000.0
14,14.0,0.8767976328830408,0.1,0.8,0.2,100.0,1000.0,2000.0
15,15.0,0.8780054915098852,0.1,0.8,0.2,100.0,1000.0,2000.0
16,16.0,0.8787730809127305,0.1,0.8,0.2,100.0,1000.0,2000.0
17,17.0,0.8787791167124517,0.1,0.8,0.2,100.0,1000.0,2000.0
18,18.0,0.8796629189072611,0.1,0.8,0.2,100.0,1000.0,2000.0
19,19.0,0.8802530782820095,0.1,0.8,0.2,100.0,1000.0,2000.0
20,20.0,0.8811619624865565,0.1,0.8,0.2,100.0,1000.0,2000.0
21,21.0,0.8817351578929113,0.1,0.8,0.2,100.0,1000.0,2000.0
22,22.0,0.88204865707321,0.1,0.8,0.2,100.0,1000.0,2000.0
23,23.0,0.882820986064194,0.1,0.8,0.2,100.0,1000.0,2000.0
24,24.0,0.8828841892758632,0.1,0.8,0.2,100.0,1000.0,2000.0
25,25.0,0.8829906112693586,0.1,0.8,0.2,100.0,1000.0,2000.0
26,26.0,0.8841323137941945,0.1,0.8,0.2,100.0,1000.0,2000.0
27,27.0,0.8848597373136116,0.1,0.8,0.2,100.0,1000.0,2000.0
28,28.0,0.8848597373136116,0.1,0.8,0.2,100.0,1000.0,2000.0
29,29.0,0.8850731505642702,0.1,0.8,0.2,100.0,1000.0,2000.0
30,30.0,0.8855263935973787,0.1,0.8,0.2,100.0,1000.0,2000.0
31,31.0,0.8861138815898472,0.1,0.8,0.2,100.0,1000.0,2000.0
32,32.0,0.8861799286152652,0.1,0.8,0.2,100.0,1000.0,2000.0
33,33.0,0.8864864195606053,0.1,0.8,0.2,100.0,1000.0,2000.0
34,34.0,0.8872262437845182,0.1,0.8,0.2,100.0,1000.0,2000.0
35,35.0,0.8878302528172173,0.1,0.8,0.2,100.0,1000.0,2000.0
36,36.0,0.8884939964887455,0.1,0.8,0.2,100.0,1000.0,2000.0
37,37.0,0.8884939964887455,0.1,0.8,0.2,100.0,1000.0,2000.0
38,38.0,0.8886093980391001,0.1,0.8,0.2,100.0,1000.0,2000.0
39,39.0,0.8886852002067327,0.1,0.8,0.2,100.0,1000.0,2000.0
40,40.0,0.8888284397870725,0.1,0.8,0.2,100.0,1000.0,2000.0
41,41.0,0.8890390264869672,0.1,0.8,0.2,100.0,1000.0,2000.0
42,42.0,0.8890404882841472,0.1,0.8,0.2,100.0,1000.0,2000.0
43,43.0,0.8893118054048711,0.1,0.8,0.2,100.0,1000.0,2000.0
44,44.0,0.8894598117398229,0.1,0.8,0.2,100.0,1000.0,2000.0
45,45.0,0.890161775867011,0.1,0.8,0.2,100.0,1000.0,2000.0
46,46.0,0.8903340818512371,0.1,0.8,0.2,100.0,1000.0,2000.0
47,47.0,0.8910654226661026,0.1,0.8,0.2,100.0,1000.0,2000.0
48,48.0,0.8915251571769716,0.1,0.8,0.2,100.0,1000.0,2000.0
49,49.0,0.8915251571769716,0.1,0.8,0.2,100.0,1000.0,2000.0
50,50.0,0.8915251571769716,0.1,0.8,0.2,100.0,1000.0,2000.0
51,51.0,0.8915251571769716,0.1,0.8,0.2,100.0,1000.0,2000.0
52,52.0,0.8918287186026196,0.1,0.8,0.2,100.0,1000.0,2000.0
53,53.0,0.8922129938945733,0.1,0.8,0.2,100.0,1000.0,2000.0
54,54.0,0.8922129938945733,0.1,0.8,0.2,100.0,1000.0,2000.0
55,55.0,0.8922129938945733,0.1,0.8,0.2,100.0,1000.0,2000.0
56,56.0,0.8925339224185651,0.1,0.8,0.2,100.0,1000.0,2000.0
57,57.0,0.8925339224185651,0.1,0.8,0.2,100.0,1000.0,2000.0
58,58.0,0.8925339224185651,0.1,0.8,0.2,100.0,1000.0,2000.0
59,59.0,0.8931729475251822,0.1,0.8,0.2,100.0,1000.0,2000.0
60,60.0,0.8931729475251822,0.1,0.8,0.2,100.0,1000.0,2000.0
61,61.0,0.8931729475251822,0.1,0.8,0.2,100.0,1000.0,2000.0
62,62.0,0.8941294384312977,0.1,0.8,0.2,100.0,1000.0,2000.0
63,63.0,0.8941294384312977,0.1,0.8,0.2,100.0,1000.0,2000.0
64,64.0,0.8941294384312977,0.1,0.8,0.2,100.0,1000.0,2000.0
65,65.0,0.8941294384312977,0.1,0.8,0.2,100.0,1000.0,2000.0
66,66.0,0.8941294384312977,0.1,0.8,0.2,100.0,1000.0,2000.0
67,67.0,0.8941294384312977,0.1,0.8,0.2,100.0,1000.0,2000.0
