x,y,area
561563.6685,545004.2717,129
561995.8207,545696.0797,391
563961.4906,547416.1734,814
564042.1105,547499.2233,764
562573.2795,545459.6446,919
561322.256,545104.1007,1221
562839.8527,546329.905,858
562850.0503,546184.1354,1380
560844.1969,545407.0487,2093
560571.1413,545551.2262,5427
561229.9083,545032.4073,2013
560836.5641,545272.6243,813
562083.2623,545549.3316,847
562071.4161,546387.54,795
560592.0593,545377.5512,1019
561775.1937,546009.555,1099
561981.0623,545629.5026,1214
562733.3075,545903.8473,806
561913.3505,546074.8886,1714
562045.1973,545918.3421,1784
561540.2259,545040.7766,259
562125.8017,546580.7673,217
562672.426,545782.7514,1198
560893.305,545352.3616,323
561622.0598,546101.3744,706
561880.7076,545978.011,670
562030.6908,546230.0116,230
562060.4117,546505.3355,411
562738.8035,545819.0421,534
561933.1508,545889.3988,572
561993.4665,545764.1598,490
